,monthly cost,address,neighbourhood,city,bedroom,bathroom,size(sf),type
0,3250,2,2,853,161 West Georgia Street,Downtown West,Vancouver,Apt/Condo
1,4700,3,1,970,1405 Haro Street,West End,Vancouver,Apt/Condo
2,2900,1,1,607,5728 Berton Avenue,University (Ubc),Vancouver,Apt/Condo
3,2495,1,1,530,198 Aquarius Mews,Yaletown,Vancouver,Apt/Condo
4,4500,2,2,890,5687 Gray,University (Ubc),Vancouver,Apt/Condo
5,2292,1,1,700,2233 West 3rd Ave,Kitsilano,Vancouver,Apt/Condo
6,2500,0,1,411,22 East Cordova,Downtown East,Vancouver,Apt/Condo
7,2800,1,1,,1325 Rolston Street,Downtown West,Vancouver,Apt/Condo
8,4295,3,2,1080,51 3592 Hull Street,Grandview East,Vancouver,House
9,1895,1,1,573,5380 Oben Street,Collingwood,Vancouver,Apt/Condo
10,5195,3,3,1408,42 3588 Hull Street,Grandview East,Vancouver,House
11,4200,2,2,1170,75 West 1st Avenue,False Creek,Vancouver,Apt/Condo
12,2500,2,1,700,2916 Fraser,Mount Pleasant East,Vancouver,House
13,2350,1,1,700,1750 Vine Street,Kitsilano,Vancouver,Apt/Condo
14,3300,2,1,576,788 Hamilton Street,Downtown West,Vancouver,Apt/Condo
15,5200,2,2,1080,410 1859 Spyglass Place,False Creek,Vancouver,House
16,3950,2,1,696,1783 West 14th Avenue,Fairview,Vancouver,Apt/Condo
17,7500,3,3,1811,3001 667 Howe St,Downtown West,Vancouver,House
18,3600,2,1,702,1009 Harwood Street,West End,Vancouver,Apt/Condo
19,2300,1,2,666,2768 East 25th Avenue,Renfrew Heights,Vancouver,House
20,2000,1,1,646,168 Powell Street,Downtown East,Vancouver,Apt/Condo
21,3200,2,2,720,488 Helmcken,Yaletown,Vancouver,Apt/Condo
22,2900,1,1,537,161 W Georgi Street,Downtown West,Vancouver,Apt/Condo
23,4000,2,2,895,1008 Cambie,Yaletown,Vancouver,Apt/Condo
24,2950,3,2,1000,148 E 18th Avenue,Main,Vancouver,House
25,4100,2,2,1221,947 Homer Street,Yaletown,Vancouver,House
26,6300,2,2,1180,607 560 Cardero Street,Coal Harbour,Vancouver,House
27,4100,2,2,964,2101 888 Hamilton Street,Downtown West,Vancouver,House
28,2650,1,1,,1051 Broughton Street,West End,Vancouver,Apt/Condo
29,3900,2,2,1143,455 Beach Crescent,Yaletown,Vancouver,Apt/Condo
30,2100,0,1,486,303 Pender,Downtown West,Vancouver,Apt/Condo
31,4800,2,2,1144,1068 Hornby Street,Downtown West,Vancouver,Apt/Condo
32,3600,2,2,700,1540 Haro Street,West End,Vancouver,Apt/Condo
33,2850,1,1,508,928 Beatty Street,Yaletown,Vancouver,Apt/Condo
34,1650,0,1,180,1517 Comox Street,West End,Vancouver,Apt/Condo
35,7500,1,2,1457,Thn 1111 Marinaside Crescent,Yaletown,Vancouver,House
36,3300,2,1,667,1405 Haro Street,West End,Vancouver,Apt/Condo
37,2250,0,1,388,1480 Howe Street,Yaletown,Vancouver,Apt/Condo
38,6000,2,2,1260,938 Smithe Street,Downtown West,Vancouver,Apt/Condo
39,2300,1,1,450,1540 Haro Street,West End,Vancouver,Apt/Condo
40,4500,3,2,829,1405 Haro Street,West End,Vancouver,Apt/Condo
41,7200,4,2,2600,2627 Balaclava Street,Kitsilano,Vancouver,House
42,2700,1,1,516,1009 Harwood Street,West End,Vancouver,Apt/Condo
43,2600,0,1,434,1480 Howe Street,Yaletown,Vancouver,Apt/Condo
44,2800,1,1,529,38 Smithe Street,Downtown West,Vancouver,Apt/Condo
45,2600,1,1,403,1480 Howe Street,Yaletown,Vancouver,Apt/Condo
46,2700,1,1,456,1283 Howe Street,Downtown West,Vancouver,Apt/Condo
47,3600,2,2,705,1168 Pendrell Street,West End,Vancouver,Apt/Condo
48,5000,2,2,790,1168 Pendrell Street,West End,Vancouver,Apt/Condo
49,4500,3,2,745,1168 Pendrell Street,West End,Vancouver,Apt/Condo
50,2600,1,1,462,1168 Pendrell Street,West End,Vancouver,Apt/Condo
51,3100,2,1,705,1168 Pendrell Street,West End,Vancouver,Apt/Condo
52,1950,0,1,380,1086 Bute Street,West End,Vancouver,Apt/Condo
53,10500,5,4,3000,1238 Melville Street,Coal Harbour,Vancouver,Apt/Condo
54,2674,1,1,522,930 Seymour Street,Downtown West,Vancouver,Apt/Condo
55,2200,0,1,450,1540 Haro Street,West End,Vancouver,Apt/Condo
56,3200,2,1,592,1283 Howe Street,Downtown West,Vancouver,Apt/Condo
57,2900,1,1,490,777 Richards Street,Downtown West,Vancouver,Apt/Condo
58,3300,2,1,600,1010 Howe Street,Downtown West,Vancouver,Apt/Condo
59,3200,2,1,614,1351 Continental Street,Downtown West,Vancouver,Apt/Condo
